"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2023","15.70","15.10","17.30","15.05","1.81B","4.32%"
"03/01/2023","15.05","17.55","18.60","14.40","4.06B","-13.75%"
"02/01/2023","17.45","17.30","17.65","16.00","2.46B","1.16%"
"01/01/2023","17.25","20.85","22.40","16.75","4.46B","-16.26%"
"12/01/2022","20.60","17.20","24.75","17.00","10.56B","20.12%"
"11/01/2022","17.15","15.60","17.55","15.25","2.00B","10.29%"
"10/01/2022","15.55","15.65","16.85","15.30","1.17B","-0.64%"
"09/01/2022","15.65","16.35","18.20","15.35","2.56B","-4.86%"
"08/01/2022","16.45","15.80","17.90","14.75","3.75B","10.03%"
"07/01/2022","14.95","12.65","15.30","12.55","1.78B","18.18%"
"06/01/2022","12.65","13.15","13.55","12.25","956.20M","-3.80%"
"05/01/2022","13.15","14.25","14.50","12.45","2.02B","-3.66%"
"04/01/2022","13.65","12.25","16.25","12.25","3.28B","10.98%"
"03/01/2022","12.30","13.20","13.45","12.10","2.78B","-7.17%"
"02/01/2022","13.25","13.40","14.35","12.50","1.93B","-0.38%"
"01/01/2022","13.30","13.70","14.95","13.20","2.45B","-2.92%"
"12/01/2021","13.70","12.25","14.95","12.15","3.04B","10.48%"
"11/01/2021","12.40","12.85","13.60","12.10","1.35B","-3.13%"
"10/01/2021","12.80","12.50","14.65","12.40","2.86B","1.99%"
"09/01/2021","12.55","10.80","15.05","10.75","4.47B","16.20%"
"08/01/2021","10.80","12.85","12.95","10.50","1.86B","-15.29%"
"07/01/2021","12.75","13.55","14.10","12.70","1.99B","-5.90%"
"06/01/2021","13.55","13.50","15.55","13.30","2.95B","0.37%"
"05/01/2021","13.50","12.85","14.15","12.85","2.46B","-7.22%"
"04/01/2021","14.55","15.65","15.95","13.90","1.52B","-6.73%"
"03/01/2021","15.60","15.95","16.90","14.00","2.27B","-0.95%"
"02/01/2021","15.75","16.00","17.45","15.45","2.16B","0.00%"
"01/01/2021","15.75","17.85","18.60","15.00","4.20B","-11.76%"
"12/01/2020","17.85","15.40","20.75","14.85","5.85B","21.43%"
"11/01/2020","14.70","12.45","14.90","12.20","3.94B","18.55%"
"10/01/2020","12.40","13.30","13.95","12.15","1.38B","-5.70%"
"09/01/2020","13.15","14.35","15.25","12.75","2.37B","-8.36%"
"08/01/2020","14.35","12.00","17.05","11.90","5.70B","20.08%"
"07/01/2020","11.95","25.75","28.35","11.10","3.80B","-53.32%"
"06/01/2020","25.60","27.55","32.00","25.50","373.44M","-4.66%"
"05/01/2020","26.85","27.50","31.55","25.00","452.57M","-3.76%"
"04/01/2020","27.90","22.00","30.45","20.25","765.12M","24.28%"
"03/01/2020","22.45","35.20","87.30","5.65","5.96B","-35.12%"
"02/01/2020","34.60","39.15","40.75","33.60","2.87B","-11.85%"
"01/01/2020","39.25","46.95","48.50","36.55","3.63B","-16.40%"
"12/01/2019","46.95","69.00","69.30","40.75","5.71B","-31.26%"
"11/01/2019","68.30","71.00","75.30","56.65","5.26B","-2.98%"
"10/01/2019","70.40","42.00","78.70","29.00","7.44B","70.05%"
"09/01/2019","41.40","59.25","75.45","40.95","4.28B","-30.94%"
"08/01/2019","59.95","88.95","92.45","53.20","3.75B","-34.27%"
"07/01/2019","91.20","109.50","110.50","79.15","3.32B","-16.14%"
"06/01/2019","108.75","148.00","153.85","98.70","1.72B","-26.42%"
"05/01/2019","147.80","162.00","178.00","132.45","1.57B","-12.02%"
"04/01/2019","168.00","276.00","286.00","165.60","813.18M","-38.93%"
"03/01/2019","275.10","234.90","281.50","228.65","667.86M","19.01%"
"02/01/2019","231.15","195.90","236.80","168.10","1.28B","19.09%"
"01/01/2019","194.10","182.60","245.00","181.00","1.38B","6.77%"
"12/01/2018","181.80","174.00","193.20","160.00","1.09B","7.07%"
"11/01/2018","169.80","192.00","230.85","146.75","1.35B","-9.73%"
"10/01/2018","188.10","180.00","268.95","168.60","1.17B","2.42%"
"09/01/2018","183.65","347.95","348.00","165.00","1.15B","-46.54%"
"08/01/2018","343.50","369.90","404.00","336.25","357.43M","-6.64%"
"07/01/2018","367.95","338.05","394.35","332.35","301.21M","8.33%"
"06/01/2018","339.65","347.00","350.90","327.30","169.59M","-1.89%"
"05/01/2018","346.20","361.95","364.70","325.60","219.77M","-4.36%"
"04/01/2018","362.00","307.00","369.00","303.60","374.54M","18.75%"
"03/01/2018","304.85","322.10","326.00","285.00","261.91M","-5.41%"
"02/01/2018","322.30","355.00","367.25","304.50","241.58M","-9.06%"
"01/01/2018","354.40","315.50","366.30","307.15","249.21M","12.45%"
"12/01/2017","315.15","307.80","318.95","300.60","155.16M","2.69%"
"11/01/2017","306.90","317.00","329.00","295.60","246.30M","-2.34%"
"10/01/2017","314.25","354.90","375.90","298.55","287.72M","-10.21%"
"09/01/2017","350.00","350.67","382.90","345.10","181.44M","-0.17%"
"08/01/2017","350.61","363.74","368.59","337.20","237.19M","-3.12%"
"07/01/2017","361.90","293.96","372.20","290.40","323.54M","23.64%"
"06/01/2017","292.70","286.00","306.49","280.30","242.44M","2.25%"
"05/01/2017","286.27","326.40","330.36","275.25","322.25M","-12.20%"
"04/01/2017","326.05","309.64","330.38","304.12","214.05M","5.40%"
"03/01/2017","309.35","291.94","311.50","283.83","221.09M","6.47%"
"02/01/2017","290.54","280.60","294.36","275.51","177.09M","4.06%"
"01/01/2017","279.20","232.12","284.30","226.26","300.23M","20.71%"
"12/01/2016","231.29","235.14","245.00","218.11","233.32M","-1.48%"
"11/01/2016","234.77","254.69","262.60","219.03","316.74M","-7.30%"
"10/01/2016","253.27","255.00","265.59","246.30","228.95M","0.93%"
"09/01/2016","250.94","273.94","289.80","231.16","546.69M","-8.15%"
"08/01/2016","273.22","244.80","276.46","240.71","362.04M","12.26%"
"07/01/2016","243.39","222.53","247.20","221.31","219.94M","9.92%"
"06/01/2016","221.42","206.30","223.00","201.11","314.76M","7.17%"
"05/01/2016","206.60","189.58","209.20","181.13","438.74M","9.55%"
"04/01/2016","188.59","172.60","190.49","165.30","339.87M","9.01%"
"03/01/2016","173.01","139.36","175.00","138.19","376.00M","25.55%"
"02/01/2016","137.80","150.88","157.90","132.67","466.83M","-7.74%"
"01/01/2016","149.36","145.53","149.90","126.31","382.08M","2.89%"
"12/01/2015","145.16","154.00","154.40","133.60","253.53M","-5.52%"
"11/01/2015","153.64","151.04","158.00","144.04","254.15M","1.26%"
"10/01/2015","151.73","147.80","156.00","141.55","330.08M","3.97%"
"09/01/2015","145.94","135.98","155.80","127.00","430.50M","5.84%"
"08/01/2015","137.89","166.99","169.29","119.00","431.02M","-16.83%"
"07/01/2015","165.79","168.78","175.60","156.45","395.75M","-1.77%"
"06/01/2015","168.77","176.98","179.50","158.80","278.27M","-4.36%"
"05/01/2015","176.46","169.40","176.87","157.64","254.93M","5.10%"
"04/01/2015","167.89","162.44","172.80","154.36","406.43M","2.91%"
"03/01/2015","163.15","175.00","181.79","156.64","366.51M","-5.36%"
"02/01/2015","172.39","171.79","173.65","146.80","366.06M","-0.06%"
"01/01/2015","172.49","153.80","179.00","150.27","349.94M","11.71%"
"12/01/2014","154.41","142.06","155.00","134.00","322.65M","8.75%"
"11/01/2014","141.99","137.08","143.98","133.01","195.64M","3.72%"
"10/01/2014","136.90","112.38","137.84","109.02","174.71M","22.48%"
"09/01/2014","111.77","114.88","126.94","107.19","312.60M","-2.31%"
"08/01/2014","114.41","107.14","118.67","103.21","299.39M","5.72%"
"07/01/2014","108.22","108.74","114.72","100.44","397.21M","0.01%"
"06/01/2014","108.21","114.58","117.60","101.50","475.34M","-4.98%"
"05/01/2014","113.88","88.90","119.80","86.70","726.00M","29.19%"
"04/01/2014","88.15","83.68","94.96","80.80","592.08M","6.47%"
"03/01/2014","82.79","60.47","83.35","60.31","814.32M","35.74%"
"02/01/2014","60.99","61.40","62.69","58.28","404.97M","-0.88%"
"01/01/2014","61.53","74.60","76.36","60.65","558.73M","-16.90%"
"12/01/2013","74.04","74.34","82.98","71.54","464.03M","0.42%"
"11/01/2013","73.73","73.80","77.25","64.73","770.35M","-0.04%"
"10/01/2013","73.76","57.80","76.38","56.08","1.27B","28.35%"
"09/01/2013","57.47","49.30","78.94","44.60","1.77B","18.08%"
"08/01/2013","48.67","66.00","67.86","43.22","1.56B","-24.89%"
"07/01/2013","64.80","92.64","100.40","57.00","703.73M","-29.73%"
"06/01/2013","92.22","97.51","102.98","87.15","198.18M","-5.38%"
"05/01/2013","97.46","100.40","109.54","97.20","163.82M","-2.86%"
"04/01/2013","100.33","85.80","101.80","83.35","225.95M","16.96%"
"03/01/2013","85.78","95.00","100.11","83.37","203.77M","-9.13%"
"02/01/2013","94.40","104.43","107.78","93.44","220.68M","-9.60%"
"01/01/2013","104.43","93.35","109.00","93.21","325.91M","12.52%"
"12/01/2012","92.81","88.64","94.98","88.22","151.89M","4.93%"
"11/01/2012","88.45","82.32","100.80","82.14","153.61M","7.45%"
